Similarity-based	similarity-based
Church	church
and	and
Yarowsky	yarowsky
[1992	[1992
]	]
)	)
A	a
typical	typical
	
corpus-based	corpus-based
algorithm	algorithm
constructs	constructs
a	a
training	training
set	set
from	from
all	all
contexts	contexts
of	of
a	a
polysemous	polysemous
	
word	word
W	w
in	in
the	the
corpus	corpus
and	and
uses	uses
it	it
to	to
learn	learn
a	a
classifier	classifier
that	that
maps	maps
instances	instances
of	of
W	w
(	(
each	each
	
supplied	supplied
with	with
its	its
context	context
)	)
into	into
the	the
senses	senses
Because	because
learning	learning
requires	requires
that	that
the	the
examples	examples
	
in	in
the	the
training	training
set	set
be	be
partitioned	partitioned
into	into
the	the
different	different
senses	senses
and	and
because	because
sense	sense
information	information
	
is	is
not	not
available	available
in	in
the	the
corpus	corpus
explicitly	explicitly
this	this
approach	approach
depends	depends
critically	critically
on	on
manual	manual
	
sense	sense
tagging--a	tagging--a
laborious	laborious
and	and
time-consuming	time-consuming
process	process
that	that
has	has
to	to
be	be
repeated	repeated
for	for
	
every	every
word	word
in	in
every	every
language	language
and	and
more	more
likely	likely
than	than
not	not
for	for
every	every
topic	topic
of	of
discourse	discourse
	
or	or
source	source
of	of
information	information
	
The	the
need	need
for	for
tagged	tagged
examples	examples
creates	creates
a	a
problem	problem
referred	referred
to	to
in	in
previous	previous
works	works
as	as
	
the	the
knowledge	knowledge
acquisition	acquisition
bottleneck	bottleneck
:	:
training	training
a	a
disambiguator	disambiguator
for	for
W	w
requires	requires
that	that
	
the	the
examples	examples
in	in
the	the
corpus	corpus
be	be
partitioned	partitioned
into	into
senses	senses
which	which
in	in
turn	turn
requires	requires
a	a
fully	fully
	
operational	operational
disambiguator	disambiguator
The	the
method	method
we	we
propose	propose
circumvents	circumvents
this	this
problem	problem
by	by
automatically	automatically
	
tagging	tagging
the	the
training	training
set	set
examples	examples
for	for
W	w
using	using
other	other
examples	examples
that	that
do	do
not	not
	
contain	contain
W	w
but	but
do	do
contain	contain
related	related
words	words
extracted	extracted
from	from
its	its
dictionary	dictionary
definition	definition
For	for
	
instance	instance
in	in
the	the
training	training
set	set
for	for
suit	suit
we	we
would	would
use	use
in	in
addition	addition
to	to
the	the
contexts	contexts
of	of
suit	suit
	
*	*
Dept	dept
of	of
Applied	applied
Mathematics	mathematics
and	and
Computer	computer
Science	science
Rehovot	rehovot
76100	76100
Israel	israel
	
t	t
Center	center
for	for
Biological	biological
&	&
Computational	computational
Learning	learning
MIT	mit
E25-201	e25-201
Cambridge	cambridge
MA	ma
02142	02142
Present	present
address	address
:	:
	
School	school
of	of
Cognitive	cognitive
and	and
Computing	computing
Sciences	sciences
University	university
of	of
Sussex	sussex
Falmer	falmer
BN1	bn1
9QH	9qh
UK	uk
	
(	(
~	~
)	)
1998	1998
Association	association
for	for
Computational	computational
Linguistics	linguistics
	
Computational	computational
Linguistics	linguistics
Volume	volume
24	24
Number	number
1	1
	
all	all
the	the
contexts	contexts
of	of
court	court
and	and
of	of
clothes	clothes
in	in
the	the
corpus	corpus
because	because
court	court
and	and
clothes	clothes
appear	appear
in	in
	
the	the
machine-readable	machine-readable
dictionary	dictionary
(	(
MRD	mrd
)	)
entry	entry
of	of
suit	suit
that	that
defines	defines
its	its
two	two
senses	senses
Note	note
	
that	that
unlike	unlike
the	the
contexts	contexts
of	of
suit	suit
which	which
may	may
discuss	discuss
either	either
court	court
action	action
or	or
clothing	clothing
the	the
	
contexts	contexts
of	of
court	court
are	are
not	not
likely	likely
to	to
be	be
especially	especially
related	related
to	to
clothing	clothing
and	and
similarly	similarly
those	those
	
of	of
clothes	clothes
will	will
normally	normally
have	have
little	little
to	to
do	do
with	with
lawsuits	lawsuits
We	we
will	will
use	use
this	this
observation	observation
to	to
	
tag	tag
the	the
original	original
contexts	contexts
of	of
suit	suit
	
Another	another
problem	problem
that	that
affects	affects
the	the
corpus-based	corpus-based
WSD	wsd
methods	methods
is	is
the	the
sparseness	sparseness
of	of
	
data	data
:	:
these	these
methods	methods
typically	typically
rely	rely
on	on
the	the
statistics	statistics
of	of
co-occurrences	co-occurrences
of	of
words	words
while	while
	
many	many
of	of
the	the
possible	possible
co-occurrences	co-occurrences
are	are
not	not
observed	observed
even	even
in	in
a	a
very	very
large	large
corpus	corpus
	
(	(
Church	church
and	and
Mercer	mercer
1993	1993
)	)
We	we
address	address
this	this
problem	problem
in	in
several	several
ways	ways
First	first
instead	instead
of	of
	
tallying	tallying
word	word
statistics	statistics
from	from
the	the
examples	examples
for	for
each	each
sense	sense
(	(
which	which
may	may
be	be
unreliable	unreliable
	
when	when
the	the
examples	examples
are	are
few	few
)	)
we	we
collect	collect
sentence-level	sentence-level
statistics	statistics
representing	representing
each	each
	
sentence	sentence
by	by
the	the
set	set
of	of
features	features
it	it
contains	contains
(	(
for	for
more	more
on	on
features	features
see	see
Section	section
4	4
2	2
)	)
Second	second
	
we	we
define	define
a	a
similarity	similarity
measure	measure
on	on
the	the
feature	feature
space	space
which	which
allows	allows
us	us
to	to
pool	pool
the	the
	
statistics	statistics
of	of
similar	similar
features	features
Third	third
in	in
addition	addition
to	to
the	the
examples	examples
of	of
the	the
polysemous	polysemous
word	word
	
142	142
in	in
the	the
corpus	corpus
we	we
learn	learn
also	also
from	from
the	the
examples	examples
of	of
all	all
the	the
words	words
in	in
the	the
dictionary	dictionary
	
definition	definition
of	of
W	w
In	in
our	our
experiments	experiments
this	this
resulted	resulted
in	in
a	a
training	training
set	set
that	that
could	could
be	be
up	up
to	to
	
20	20
times	times
larger	larger
than	than
the	the
set	set
of	of
original	original
examples	examples
	
The	the
rest	rest
of	of
this	this
paper	paper
is	is
organized	organized
as	as
follows	follows
Section	section
2	2
describes	describes
the	the
approach	approach
	
we	we
have	have
developed	developed
In	in
Section	section
3	3
we	we
report	report
the	the
results	results
of	of
tests	tests
we	we
have	have
conducted	conducted
on	on
	
the	the
Treebank-2	treebank-2
corpus	corpus
Section	section
4	4
concludes	concludes
with	with
a	a
discussion	discussion
of	of
related	related
methods	methods
and	and
	
a	a
summary	summary
Proofs	proofs
and	and
other	other
details	details
of	of
our	our
scheme	scheme
can	can
be	be
found	found
in	in
the	the
appendix	appendix
	
2	2
Similarity-based	similarity-based
Disambiguation	disambiguation
	
Our	our
aim	aim
is	is
to	to
have	have
the	the
system	system
learn	learn
to	to
disambiguate	disambiguate
the	the
appearances	appearances
of	of
a	a
polysemous	polysemous
	
word	word
W	w
(	(
noun	noun
verb	verb
or	or
adjective	adjective
)	)
with	with
senses	senses
Sl	sl
 sk	 sk
using	using
as	as
examples	examples
the	the
appearances	appearances
	
of	of
W	w
in	in
an	an
untagged	untagged
corpus	corpus
To	to
avoid	avoid
the	the
need	need
to	to
tag	tag
the	the
training	training
examples	examples
	
manually	manually
we	we
augment	augment
the	the
training	training
set	set
by	by
additional	additional
sense-related	sense-related
examples	examples
which	which
	
we	we
call	call
a	a
feedback	feedback
set	set
The	the
feedback	feedback
set	set
for	for
sense	sense
si	si
of	of
word	word
W	w
is	is
the	the
union	union
of	of
all	all
	
contexts	contexts
that	that
contain	contain
some	some
noun	noun
found	found
in	in
the	the
entry	entry
of	of
si	si
(	(
W	w
)	)
in	in
an	an
MRD	mrd
1	1
Words	words
in	in
	
the	the
intersection	intersection
of	of
any	any
two	two
sense	sense
entries	entries
as	as
well	well
as	as
examples	examples
in	in
the	the
intersection	intersection
of	of
	
two	two
feedback	feedback
sets	sets
are	are
discarded	discarded
during	during
initialization	initialization
;	;
we	we
also	also
use	use
a	a
stop	stop
list	list
to	to
discard	discard
	
from	from
the	the
MRD	mrd
definition	definition
high-frequency	high-frequency
words	words
such	such
as	as
that	that
which	which
do	do
not	not
contribute	contribute
	
to	to
the	the
disambiguation	disambiguation
process	process
The	the
feedback	feedback
sets	sets
can	can
be	be
augmented	augmented
in	in
turn	turn
by	by
original	original
	
training-set	training-set
sentences	sentences
that	that
are	are
closely	closely
related	related
(	(
in	in
a	a
sense	sense
defined	defined
below	below
)	)
to	to
one	one
of	of
	
the	the
feedback-set	feedback-set
sentences	sentences
;	;
these	these
additional	additional
examples	examples
can	can
then	then
attract	attract
other	other
original	original
	
examples	examples
	
The	the
feedback	feedback
sets	sets
constitute	constitute
a	a
rich	rich
source	source
of	of
data	data
that	that
are	are
known	known
to	to
be	be
sorted	sorted
by	by
	
sense	sense
Specifically	specifically
the	the
feedback	feedback
set	set
of	of
si	si
is	is
known	known
to	to
be	be
more	more
closely	closely
related	related
to	to
si	si
than	than
	
to	to
the	the
other	other
senses	senses
of	of
the	the
same	same
word	word
We	we
rely	rely
on	on
this	this
observation	observation
to	to
tag	tag
automatically	automatically
	
the	the
examples	examples
of	of
W	w
as	as
follows	follows
Each	each
original	original
sentence	sentence
containing	containing
W	w
is	is
assigned	assigned
the	the
	
sense	sense
of	of
its	its
most	most
similar	similar
sentence	sentence
in	in
the	the
feedback	feedback
sets	sets
Two	two
sentences	sentences
are	are
considered	considered
to	to
	
be	be
similar	similar
insofar	insofar
as	as
they	they
contain	contain
similar	similar
words	words
(	(
they	they
do	do
not	not
have	have
to	to
share	share
any	any
word	word
)	)
;	;
	
words	words
are	are
considered	considered
to	to
be	be
similar	similar
if	if
they	they
appear	appear
in	in
similar	similar
sentences	sentences
The	the
circularity	circularity
	
of	of
this	this
definition	definition
is	is
resolved	resolved
by	by
an	an
iterative	iterative
converging	converging
process	process
described	described
below	below
	
1	1
By	by
MRD	mrd
we	we
mean	mean
a	a
machine-readable	machine-readable
dictionary	dictionary
or	or
a	a
thesaurus	thesaurus
or	or
any	any
combination	combination
of	of
such	such
	
knowledge	knowledge
sources	sources
	
42	42
	
Karov	karov
and	and
Edelman	edelman
Similarity-based	similarity-based
Word	word
Sense	sense
Disambiguation	disambiguation
	
2	2
1	1
Terminology	terminology
	
A	a
context	context
or	or
example	example
of	of
the	the
target	target
word	word
W	w
is	is
any	any
sentence	sentence
that	that
contains	contains
W	w
and	and
	
(	(
optionally	optionally
)	)
the	the
two	two
adjacent	adjacent
sentences	sentences
in	in
the	the
corpus	corpus
The	the
features	features
of	of
a	a
sentence	sentence
8	8
are	are
	
its	its
nouns	nouns
verbs	verbs
and	and
the	the
adjectives	adjectives
of	of
W	w
and	and
of	of
any	any
noun	noun
that	that
appears	appears
both	both
in	in
$	$
and	and
	
in	in
W's	w's
MRD	mrd
definition	definition
(	(
s	s
)	)
all	all
used	used
after	after
stemming	stemming
(	(
it	it
is	is
also	also
possible	possible
to	to
use	use
other	other
types	types
	
of	of
features	features
such	such
as	as
word	word
n-grams	n-grams
or	or
syntactic	syntactic
information	information
;	;
see	see
Section	section
4	4
2	2
)	)
As	as
the	the
	
number	number
of	of
features	features
in	in
the	the
training	training
data	data
can	can
be	be
very	very
large	large
we	we
automatically	automatically
assign	assign
each	each
	
relevant	relevant
feature	feature
a	a
weight	weight
indicating	indicating
the	the
extent	extent
to	to
which	which
it	it
is	is
indicative	indicative
of	of
the	the
sense	sense
	
(	(
see	see
Section	section
A	a
3	3
in	in
the	the
appendix	appendix
)	)
Features	features
that	that
appear	appear
less	less
than	than
two	two
times	times
in	in
the	the
	
training	training
set	set
and	and
features	features
whose	whose
weight	weight
falls	falls
under	under
a	a
certain	certain
threshold	threshold
are	are
excluded	excluded
	
A	a
sentence	sentence
is	is
represented	represented
by	by
the	the
set	set
of	of
the	the
remaining	remaining
relevant	relevant
features	features
it	it
contains	contains
	
2	2
2	2
Computation	computation
of	of
Similarity	similarity
	
Our	our
method	method
hinges	hinges
on	on
the	the
possibility	possibility
of	of
computing	computing
similarity	similarity
between	between
the	the
original	original
	
contexts	contexts
of	of
W	w
and	and
the	the
sentences	sentences
in	in
the	the
feedback	feedback
sets	sets
We	we
concentrate	concentrate
on	on
similarities	similarities
	
in	in
the	the
way	way
sentences	sentences
use	use
W	w
not	not
on	on
similarities	similarities
in	in
the	the
meaning	meaning
of	of
the	the
sentences	sentences
Thus	thus
	
similar	similar
words	words
tend	tend
to	to
appear	appear
in	in
similar	similar
contexts	contexts
and	and
their	their
textual	textual
proximity	proximity
to	to
the	the
	
ambiguous	ambiguous
word	word
W	w
is	is
indicative	indicative
of	of
the	the
sense	sense
of	of
W	w
Note	note
that	that
contextually	contextually
similar	similar
	
words	words
do	do
not	not
have	have
to	to
be	be
synonyms	synonyms
or	or
to	to
belong	belong
to	to
the	the
same	same
lexical	lexical
category	category
For	for
example	example
	
we	we
consider	consider
the	the
words	words
doctor	doctor
and	and
health	health
to	to
be	be
similar	similar
because	because
they	they
frequently	frequently
	
share	share
contexts	contexts
although	although
they	they
are	are
far	far
removed	removed
from	from
each	each
other	other
in	in
a	a
typical	typical
semantic	semantic
	
hierarchy	hierarchy
such	such
as	as
the	the
WordNet	wordnet
(	(
Miller	miller
et	et
al	al
1993	1993
)	)
Note	note
further	further
that	that
because	because
we	we
	
learn	learn
similarity	similarity
from	from
the	the
training	training
set	set
of	of
W	w
and	and
not	not
from	from
the	the
entire	entire
corpus	corpus
it	it
tends	tends
	
to	to
capture	capture
regularities	regularities
with	with
respect	respect
to	to
the	the
usage	usage
of	of
14	14
;	;
rather	rather
than	than
abstract	abstract
or	or
general	general
	
regularities	regularities
For	for
example	example
the	the
otherwise	otherwise
unrelated	unrelated
words	words
war	war
and	and
trafficking	trafficking
are	are
similar	similar
	
in	in
the	the
contexts	contexts
of	of
the	the
polysemous	polysemous
word	word
drug	drug
(	(
'narcotic'	'narcotic'
/'medicine'	/'medicine'
)	)
because	because
the	the
	
expressions	expressions
drug	drug
trafficking	trafficking
and	and
the	the
war	war
on	on
drugs	drugs
appear	appear
in	in
related	related
contexts	contexts
of	of
drug	drug
As	as
a	a
	
result	result
both	both
war	war
and	and
trafficking	trafficking
are	are
similar	similar
in	in
being	being
strongly	strongly
indicative	indicative
of	of
the	the
'narcotic'	'narcotic'
	
sense	sense
of	of
drug	drug
	
Words	words
and	and
sentences	sentences
play	play
complementary	complementary
roles	roles
in	in
our	our
approach	approach
:	:
a	a
sentence	sentence
is	is
	
represented	represented
by	by
the	the
set	set
of	of
words	words
it	it
contains	contains
and	and
a	a
word	word
by	by
the	the
set	set
of	of
sentences	sentences
in	in
	
which	which
it	it
appears	appears
Sentences	sentences
are	are
similar	similar
to	to
the	the
extent	extent
they	they
contain	contain
similar	similar
words	words
;	;
2	2
words	words
	
are	are
similar	similar
to	to
the	the
extent	extent
they	they
appear	appear
in	in
similar	similar
sentences	sentences
Although	although
this	this
definition	definition
is	is
	
circular	circular
it	it
turns	turns
out	out
to	to
be	be
of	of
great	great
use	use
if	if
applied	applied
iteratively	iteratively
as	as
described	described
below	below
	
In	in
each	each
iteration	iteration
n	n
we	we
update	update
a	a
word	word
similarity	similarity
matrix	matrix
WSMn	wsmn
(	(
one	one
matrix	matrix
for	for
each	each
	
polysemous	polysemous
word	word
)	)
whose	whose
rows	rows
and	and
columns	columns
are	are
labeled	labeled
by	by
all	all
the	the
words	words
encountered	encountered
	
in	in
the	the
training	training
set	set
of	of
W	w
In	in
that	that
matrix	matrix
the	the
cell	cell
(	(
i	i
j	j
)	)
holds	holds
a	a
value	value
between	between
0	0
and	and
1	1
	
indicating	indicating
the	the
extent	extent
to	to
which	which
word	word
Wi	wi
is	is
contextually	contextually
similar	similar
to	to
word	word
Wj	wj
In	in
addition	addition
	
we	we
keep	keep
and	and
update	update
a	a
separate	separate
sentence	sentence
similarity	similarity
matrix	matrix
SSM	ssm
~	~
for	for
each	each
sense	sense
Sk	sk
of	of
W	w
	
(	(
including	including
a	a
matrix	matrix
SSMok	ssmok
that	that
contains	contains
the	the
similarities	similarities
of	of
the	the
original	original
examples	examples
to	to
	
themselves	themselves
)	)
The	the
rows	rows
in	in
a	a
sentence	sentence
matrix	matrix
SSM	ssm
~	~
correspond	correspond
to	to
the	the
original	original
examples	examples
	
of	of
W	w
and	and
the	the
columns	columns
to	to
the	the
original	original
examples	examples
of	of
W	w
for	for
n	n
=	=
0	0
and	and
to	to
the	the
feedback-set	feedback-set
	
examples	examples
for	for
sense	sense
Sk	sk
for	for
n	n
>	>
0	0
	
To	to
compute	compute
the	the
similarities	similarities
we	we
initialize	initialize
the	the
word	word
similarity	similarity
matrix	matrix
to	to
the	the
identity	identity
	
matrix	matrix
(	(
each	each
word	word
is	is
fully	fully
similar	similar
to	to
itself	itself
and	and
completely	completely
dissimilar	dissimilar
to	to
other	other
words	words
)	)
	
and	and
iterate	iterate
(	(
see	see
Figure	figure
1	1
)	)
:	:
	
1	1
update	update
the	the
sentence	sentence
similarity	similarity
matrices	matrices
SSM	ssm
~	~
using	using
the	the
word	word
similarity	similarity
	
matrix	matrix
WSMn	wsmn
;	;
	
2	2
Ignoring	ignoring
word	word
order	order
This	this
information	information
can	can
be	be
put	put
to	to
use	use
by	by
including	including
n-grams	n-grams
in	in
the	the
feature	feature
set	set
;	;
see	see
	
Section	section
4	4
2	2
	
43	43
	
Computational	computational
Linguistics	linguistics
Volume	volume
24	24
Number	number
1	1
	
Word	word
	
Similarity	similarity
	
Matrix	matrix
	
Sentence	sentence
	
Similarity	similarity
	
Matrix	matrix
	
Figure	figure
1	1
	
Iterative	iterative
computation	computation
of	of
word	word
and	and
sentence	sentence
similarities	similarities
	
update	update
the	the
word	word
similarity	similarity
matrix	matrix
WSMn	wsmn
using	using
the	the
sentence	sentence
similarity	similarity
	
matrices	matrices
SSM	ssm
~	~
	
until	until
the	the
changes	changes
in	in
the	the
similarity	similarity
values	values
are	are
small	small
enough	enough
(	(
see	see
Section	section
A	a
1	1
of	of
the	the
	
appendix	appendix
for	for
a	a
detailed	detailed
description	description
of	of
the	the
stopping	stopping
conditions	conditions
;	;
a	a
proof	proof
of	of
convergence	convergence
	
appears	appears
in	in
the	the
appendix	appendix
)	)
	
2	2
2	2
1	1
The	the
Affinity	affinity
Formulae	formulae
The	the
algorithm	algorithm
for	for
updating	updating
the	the
similarity	similarity
matrices	matrices
involves	involves
	
an	an
auxiliary	auxiliary
relation	relation
between	between
words	words
and	and
sentences	sentences
which	which
we	we
call	call
affinity	affinity
	
introduced	introduced
to	to
simplify	simplify
the	the
symmetric	symmetric
iterative	iterative
treatment	treatment
of	of
similarity	similarity
between	between
words	words
	
and	and
sentences	sentences
A	a
word	word
W	w
is	is
assumed	assumed
to	to
have	have
a	a
certain	certain
affinity	affinity
to	to
every	every
sentence	sentence
Affinity	affinity
	
(	(
a	a
real	real
number	number
between	between
0	0
and	and
1	1
)	)
reflects	reflects
the	the
contextual	contextual
relationships	relationships
between	between
W	w
	
and	and
the	the
words	words
of	of
the	the
sentence	sentence
If	if
W	w
belongs	belongs
to	to
a	a
sentence	sentence
S	s
its	its
affinity	affinity
to	to
S	s
is	is
1	1
;	;
if	if
	
W	w
is	is
totally	totally
unrelated	unrelated
to	to
S	s
the	the
affinity	affinity
is	is
close	close
to	to
0	0
(	(
this	this
is	is
the	the
most	most
common	common
case	case
)	)
;	;
	
if	if
W	w
is	is
contextually	contextually
similar	similar
to	to
the	the
words	words
of	of
S	s
its	its
affinity	affinity
to	to
S	s
is	is
between	between
0	0
and	and
1	1
	
In	in
a	a
symmetric	symmetric
manner	manner
a	a
sentence	sentence
S	s
has	has
some	some
affinity	affinity
to	to
every	every
word	word
reflecting	reflecting
the	the
	
similarity	similarity
of	of
S	s
to	to
sentences	sentences
involving	involving
that	that
word	word
	
We	we
say	say
that	that
a	a
word	word
belongs	belongs
to	to
a	a
sentence	sentence
denoted	denoted
as	as
W	w
E	e
S	s
if	if
it	it
is	is
textually	textually
	
contained	contained
there	there
;	;
in	in
this	this
case	case
sentence	sentence
is	is
said	said
to	to
include	include
the	the
word	word
:	:
S	s
9	9
W	w
Affinity	affinity
is	is
	
then	then
defined	defined
as	as
follows	follows
:	:
	
affn	affn
(	(
W	w
S	s
)	)
=	=
max	max
simn	simn
(	(
W	w
Wi	wi
)	)
(	(
1	1
)	)
	
WiCS	wics
	
aff	aff
(	(
S	s
W	w
)	)
=	=
max	max
simn	simn
(	(
S	s
Sj	sj
)	)
(	(
2	2
)	)
	
8j	8j
~w	~w
	
where	where
n	n
denotes	denotes
the	the
iteration	iteration
number	number
and	and
the	the
similarity	similarity
values	values
are	are
defined	defined
by	by
the	the
	
word	word
and	and
sentence	sentence
similarity	similarity
matrices	matrices
WSMn	wsmn
and	and
SSMn	ssmn
3	3
The	the
initial	initial
representation	representation
	
of	of
a	a
sentence	sentence
as	as
the	the
set	set
of	of
words	words
that	that
it	it
directly	directly
contains	contains
is	is
now	now
augmented	augmented
by	by
a	a
	
3	3
At	at
first	first
glance	glance
it	it
may	may
seem	seem
that	that
the	the
mean	mean
rather	rather
than	than
the	the
maximal	maximal
similarity	similarity
of	of
W	w
to	to
the	the
words	words
of	of
a	a
	
sentence	sentence
should	should
determine	determine
the	the
affinity	affinity
between	between
the	the
two	two
However	however
any	any
definition	definition
of	of
affinity	affinity
that	that
takes	takes
	
into	into
account	account
more	more
words	words
than	than
just	just
the	the
one	one
with	with
the	the
maximal	maximal
similarity	similarity
to	to
W	w
may	may
result	result
in	in
a	a
word	word
	
being	being
directly	directly
contained	contained
in	in
the	the
sentence	sentence
but	but
having	having
an	an
affinity	affinity
to	to
it	it
that	that
is	is
smaller	smaller
than	than
1	1
	
44	44
	
Karov	karov
and	and
Edelman	edelman
Similarity-based	similarity-based
Word	word
Sense	sense
Disambiguation	disambiguation
	
similarity-based	similarity-based
representation	representation
;	;
the	the
sentence	sentence
contains	contains
more	more
information	information
or	or
features	features
	
than	than
the	the
words	words
directly	directly
contained	contained
in	in
it	it
Every	every
word	word
has	has
some	some
affinity	affinity
to	to
the	the
sentence	sentence
	
and	and
the	the
sentence	sentence
can	can
be	be
represented	represented
by	by
a	a
vector	vector
indicating	indicating
the	the
affinity	affinity
of	of
each	each
word	word
	
to	to
it	it
Similarly	similarly
every	every
word	word
can	can
be	be
represented	represented
by	by
the	the
affinity	affinity
of	of
every	every
sentence	sentence
to	to
it	it
	
Note	note
that	that
affinity	affinity
is	is
asymmetric	asymmetric
:	:
aft	aft
(	(
S	s
14	14
;	;
)	)
~	~
aft	aft
(	(
W	w
S	s
)	)
because	because
14	14
;	;
may	may
be	be
similar	similar
to	to
	
one	one
of	of
the	the
words	words
in	in
S	s
which	which
however	however
is	is
not	not
one	one
of	of
the	the
topic	topic
words	words
of	of
S	s
;	;
it	it
is	is
not	not
an	an
	
important	important
word	word
in	in
S	s
In	in
this	this
case	case
aft	aft
(	(
W	w
S	s
)	)
is	is
high	high
because	because
14	14
;	;
is	is
similar	similar
to	to
a	a
word	word
	
in	in
S	s
but	but
aft	aft
(	(
S	s
14	14
;	;
)	)
is	is
low	low
because	because
S	s
is	is
not	not
a	a
representative	representative
example	example
of	of
the	the
usage	usage
of	of
	
the	the
word	word
14	14
;	;
	
2	2
2	2
2	2
The	the
Similarity	similarity
Formulae	formulae
We	we
define	define
the	the
similarity	similarity
of	of
14	14
;1	;1
to	to
14	14
;2	;2
to	to
be	be
the	the
average	average
	
affinity	affinity
of	of
sentences	sentences
that	that
include	include
14	14
;1	;1
to	to
14	14
;2	;2
The	the
similarity	similarity
of	of
a	a
sentence	sentence
$1	$1
to	to
another	another
	
sentence	sentence
82	82
is	is
a	a
weighted	weighted
average	average
of	of
the	the
affinity	affinity
of	of
the	the
words	words
in	in
$1	$1
to	to
$2	$2
:	:
	
simn	simn
+l	+l
(	(
Sb	sb
$2	$2
)	)
=	=
~	~
weight	weight
(	(
W	w
$1	$1
)	)
affn	affn
(	(
W	w
$2	$2
)	)
(	(
3	3
)	)
	
WE	we
$1	$1
	
simn	simn
+l	+l
(	(
14	14
;1	;1
14	14
;2	;2
)	)
=	=
~	~
weight	weight
(	(
S	s
14	14
;1	;1
)	)
affn	affn
(	(
S	s
14	14
;2	;2
)	)
(	(
4	4
)	)
	
$3W1	$3w1
	
where	where
the	the
weights	weights
sum	sum
to	to
1	1
4	4
These	these
values	values
are	are
used	used
to	to
update	update
the	the
corresponding	corresponding
	
entries	entries
of	of
the	the
word	word
and	and
sentence	sentence
similarity	similarity
matrices	matrices
WSM	wsm
and	and
SSM	ssm
	
2	2
2	2
3	3
The	the
Importance	importance
of	of
Iteration	iteration
Initially	initially
only	only
identical	identical
words	words
are	are
considered	considered
similar	similar
	
so	so
that	that
aft	aft
(	(
W	w
S	s
)	)
=	=
1	1
if	if
14	14
;	;
E	e
S	s
;	;
the	the
affinity	affinity
is	is
zero	zero
otherwise	otherwise
Thus	thus
in	in
the	the
first	first
	
iteration	iteration
the	the
similarity	similarity
between	between
81	81
and	and
$2	$2
depends	depends
on	on
the	the
number	number
of	of
words	words
from	from
	
$1	$1
that	that
appear	appear
in	in
$2	$2
divided	divided
by	by
the	the
length	length
of	of
$2	$2
(	(
note	note
that	that
each	each
word	word
may	may
carry	carry
	
different	different
weight	weight
)	)
In	in
the	the
subsequent	subsequent
iterations	iterations
each	each
word	word
